  SCRIPT: ORA_M01_object_storage_analysis

  STATS: show how all the segments are managed in each tablespace as message

 schema_name | segment_type |                  segment_name                  | num_rows | storage_options 
 pg_shdescription        | YES
 pg_ts_dict              | YES
 pg_extension            | YES
 pg_foreign_data_wrapper | YES
 pg_foreign_server       | YES
 pg_policy               | YES
 pg_replication_origin   | YES
 pg_default_acl          | YES
 pg_init_privs           | YES
 pg_seclabel             | YES
 pg_shseclabel           | YES
 pg_collation            | YES
 pg_parameter_acl        | YES
 pg_partitioned_table    | YES
 pg_publication_rel      | YES
(36 rows)

  STATS: list compressed table partitions

 table_name | partition_name 
------------+----------------
(0 rows)

